team,number,name,total_minutes,appearances
大東文化大学,43,並木　俊輔,473,11
桜美林大学,15,大崎　陽斗,472,7
学習院大学,20,北林　星七,472,9
玉川大学,18,佐久間　駿喜,468,13
朝鮮大学校,9,金 翔元,467,8
東京経済大学,19,山田　士雄,458,6
武蔵大学,5,瀧川　穣,450,5
帝京大学,4,福平 太一,450,5
帝京大学,5,小林 侑希,450,5
大東文化大学,14,信國　達也,438,7
上智大学,19,湯浦　崇斗,438,6
学習院大学,4,木内　温大,433,5
朝鮮大学校,22,朴　才雄,421,6
玉川大学,27,楠山　奈音,419,7
大東文化大学,2,猿山　　和輝,415,6
大東文化大学,22,髙野　　広大,399,6
東京経済大学,4,北林　嶺,376,8
玉川大学,15,丸尾　航琉,374,7
上智大学,88,廣恒　龍,374,6
武蔵大学,10,森田　蓮人,367,6
上智大学,32,堀江　風雅,364,11
神奈川工科大学（神奈川県）,19,脇屋　颯人,363,10
玉川大学,22,歳森　杏介,362,12
横浜国立大学（神奈川県）,9,篠崎　開惺,361,10
日本大学文理学部,31,伊東　拓海,360,4
帝京大学,17,當間 晴琉,359,7
武蔵大学,2,久保田　琳,355,6
朝鮮大学校,8,朴 創嶺,350,4
朝鮮大学校,27,金　毅昂,339,7
桜美林大学,67,細谷　隼生,329,10
日本大学文理学部,33,渋谷 竜聖,323,4
東京経済大学,28,海老原　寛大,318,5
日本大学文理学部,6,大塚 逢祥,316,4
玉川大学,19,国谷　康太,306,8
武蔵大学,50,甲斐田　裕大,303,7
神奈川工科大学（神奈川県）,12,川瀬　桜介,301,7
朝鮮大学校,3,李　星琉,301,4
東京経済大学,18,新井　悠河,300,4
東京経済大学,21,古垣　大樹,298,7
日本大学文理学部,46,鈴木 堅斗,292,9
武蔵大学,13,藤倉　空知,285,7
大東文化大学,80,石神　瞬,279,4
帝京大学,35,古村　大和,279,7
帝京大学,11,渡辺 結心,273,6
大東文化大学,41,佃　孝太,271,4
大東文化大学,31,佐藤　晴翔,270,3
武蔵大学,1,重山　武史,270,3
日本大学文理学部,98,久場 莉稀,270,6
神奈川工科大学（神奈川県）,2,菅原　颯太郎,270,4
上智大学,80,大島　千虎,268,11
大東文化大学,19,上田　然,263,8
玉川大学,13,堀野辺　空,260,5
玉川大学,17,上野　兼叶,260,6
帝京大学,38,栗田　遼真,257,4
武蔵大学,34,島田　康誠,255,3
大東文化大学,6,目黒　嵩人,254,4
東京経済大学,31,市川　聖龍,251,4
朝鮮大学校,23,チョ ヘフィ,249,8
大東文化大学,8,萩原　　駆,247,4
朝鮮大学校,20,金 星希,242,7
大東文化大学,7,笠原　　壮瑠,240,6
帝京大学,10,細木 創太,239,7
帝京大学,7,内堀 太貴,235,6
朝鮮大学校,5,愼 昌樹,233,3
神奈川工科大学（神奈川県）,18,前原　海聖,224,5
桜美林大学,20,倉橋　正吾,223,11
東京経済大学,15,久保寺　壱晟,222,9
桜美林大学,9,斎藤　翔太,214,7
朝鮮大学校,6,姜 正晃,205,5
神奈川工科大学（神奈川県）,6,石塚　快,203,5
大東文化大学,13,佐久間　勇斗,200,6
武蔵大学,40,泉谷　俊,200,4
桜美林大学,31,牧野　歩,198,3
横浜国立大学（神奈川県）,11,島田　健央,196,8
東京経済大学,24,川村　大樹,194,6
武蔵大学,12,川口　陽誠,193,4
学習院大学,26,西山   康惺,192,3
大東文化大学,46,金子　潤,183,3
上智大学,11,笠原　真尋,183,6
玉川大学,9,島　任平,183,5
日本大学文理学部,5,星 恒輝,182,8
上智大学,79,杉崎　皐輔,181,3
大東文化大学,12,妹尾　典,180,2
大東文化大学,5,池羽　航輝,180,2
大東文化大学,27,津田　楓真,180,2
朝鮮大学校,12,金 利優,180,2
武蔵大学,24,永山　泰希,180,2
日本大学文理学部,91,嶋﨑 寛大,180,2
神奈川工科大学（神奈川県）,25,和田　岳空,175,5
横浜国立大学（神奈川県）,19,森下　優之心,174,4
武蔵大学,3,中嶋　惇仁,173,3
武蔵大学,49,宮本　理央,169,8
日本大学文理学部,27,井之上　悠,169,2
学習院大学,17,原　壮太,166,10
上智大学,17,白坂　航大,166,7
神奈川工科大学（神奈川県）,17,大山　和真,160,3
武蔵大学,26,池戸　虹成,155,4
学習院大学,14,佐藤　友樹,155,5
